season,holiday,workingday,weather,temp,atemp,humidity,windspeed,count
2,0,1,2,14.76,18.18,87,7.0015,84
4,0,1,1,20.5,24.240000000000002,51,12.998,179
2,0,1,2,24.599999999999998,31.06,38,0,217
3,0,1,1,30.34,32.574999999999996,35,7.0015,229
1,0,1,2,8.200000000000001,9.09,40,19.0012,54
3,0,1,1,29.52,33.335,57.99999999999999,15.001299999999999,187
3,0,1,2,28.7,31.819999999999997,39,0,218
2,0,1,2,27.060000000000002,31.06,74,19.0012,242
4,0,1,3,22.14,25.759999999999998,88,15.001299999999999,101
4,0,1,3,25.419999999999998,27.275,94,7.0015,29
1,0,1,2,8.200000000000001,9.09,86,22.0028,3
1,0,1,1,20.5,24.240000000000002,45,15.001299999999999,105
4,0,0,1,22.14,25.759999999999998,39,22.0028,675
3,0,1,1,35.26,37.12,30,19.0012,147
2,0,1,3,13.940000000000001,15.909999999999998,87,16.997899999999998,36
1,0,0,1,12.299999999999999,15.15,39,8.9981,305
1,0,1,3,18.04,21.97,94,19.999499999999998,58
2,0,1,2,22.96,26.515,68,15.001299999999999,263
3,0,1,1,36.9,40.15,31,11.0014,275
4,0,1,1,25.419999999999998,30.305,61,6.0032,316
2,0,1,2,18.86,22.725,55.00000000000001,0,153
1,0,0,1,18.86,22.725,51,22.0028,300
1,0,0,1,18.04,21.97,47,6.0032,282
3,0,1,2,32.800000000000004,37.12,52,0,280
1,1,0,1,11.48,13.635,36,16.997899999999998,202
3,0,1,2,34.44,41.665,59,12.998,67
1,0,1,2,13.120000000000001,14.395,39,30.002599999999997,219
1,0,1,1,12.299999999999999,14.395,28.000000000000004,12.998,62
1,0,1,1,16.400000000000002,20.455000000000002,43,19.0012,182
3,0,1,2,31.16,36.364999999999995,66,7.0015,243
2,0,0,1,29.52,34.089999999999996,62,15.001299999999999,385
2,0,1,3,18.86,22.725,59,0,64
3,0,1,1,36.9,40.15,33,16.997899999999998,168
1,0,1,2,17.22,21.21,77,0,137
4,0,1,2,17.22,21.21,71,6.0032,171
4,0,1,1,27.060000000000002,31.06,61,16.997899999999998,365
4,0,1,2,20.5,24.240000000000002,88,11.0014,74
1,0,1,2,5.74,6.0600000000000005,46,16.997899999999998,75
4,0,0,1,12.299999999999999,16.665,28.000000000000004,0,242
2,0,1,1,19.68,23.485,36,30.002599999999997,203
1,0,1,2,9.84,11.365,56.00000000000001,12.998,224
1,0,1,1,7.38,6.819999999999999,37,35.0008,74
2,0,1,1,22.96,26.515,21,15.001299999999999,311
3,0,1,1,34.44,36.364999999999995,28.000000000000004,15.001299999999999,127
2,0,0,1,28.7,32.574999999999996,57.99999999999999,11.0014,385
3,0,1,1,38.54,41.665,28.999999999999996,16.997899999999998,214
2,0,1,2,20.5,24.240000000000002,82,11.0014,197
4,0,0,1,24.599999999999998,31.06,38,11.0014,702
2,0,1,1,26.240000000000002,31.06,36,31.0009,157
1,0,1,3,9.02,11.365,75,11.0014,50
4,0,0,2,15.58,19.695,76,12.998,356
4,0,1,2,26.240000000000002,31.06,47,19.999499999999998,266
4,1,0,1,19.68,23.485,33,15.001299999999999,175
3,0,0,2,21.32,25,72,12.998,297
4,0,1,1,16.400000000000002,20.455000000000002,43,23.9994,294
3,0,1,1,36.08,37.88,27,22.0028,368
1,0,1,1,18.04,21.97,38,16.997899999999998,138
3,0,0,1,32.800000000000004,34.85,33,15.001299999999999,556
3,0,1,1,32.800000000000004,37.12,49,11.0014,226
1,0,1,1,17.22,21.21,77,11.0014,156
1,0,1,1,13.940000000000001,15.15,42,19.999499999999998,118
3,0,0,1,27.060000000000002,31.06,47,0,757
1,0,1,1,18.04,21.97,62,32.9975,132
4,0,0,1,25.419999999999998,31.06,41,19.999499999999998,680
3,0,0,3,26.240000000000002,28.79,89,36.9974,23
2,0,0,1,24.599999999999998,31.06,46,6.0032,382
4,0,1,1,22.96,26.515,46,7.0015,161
2,0,0,3,21.32,25,94,16.997899999999998,196
3,0,1,1,27.880000000000003,31.819999999999997,36,8.9981,352
2,0,1,2,21.32,25,87,19.0012,190
4,0,0,2,10.66,12.879999999999999,41,15.001299999999999,202
3,0,1,2,32.800000000000004,39.395,63,23.9994,216
2,0,1,1,29.52,32.574999999999996,37,16.997899999999998,265
1,0,1,1,16.400000000000002,20.455000000000002,54,35.0008,170
1,0,1,3,9.02,12.879999999999999,93,6.0032,37
3,0,0,1,32.800000000000004,37.12,49,23.9994,430
3,0,1,1,31.98,34.85,43,19.0012,229
4,0,0,2,21.32,25,28.999999999999996,27.999299999999998,354
2,0,0,2,14.76,17.424999999999997,81,8.9981,212
2,0,0,1,29.52,32.574999999999996,39,26.0027,543
2,0,1,1,26.240000000000002,31.06,41,30.002599999999997,282
2,0,1,1,30.34,33.335,51,30.002599999999997,176
3,0,1,1,36.08,37.88,28.000000000000004,12.998,272
2,0,1,1,25.419999999999998,31.06,41,12.998,360
4,0,0,1,16.400000000000002,20.455000000000002,50,11.0014,426
4,0,1,1,15.58,19.695,46,26.0027,203
3,0,1,1,31.16,34.089999999999996,45,8.9981,294
3,0,0,1,39.36,43.18,31,23.9994,342
1,0,0,1,14.76,16.665,37,23.9994,364
4,0,1,2,18.86,22.725,67,0,133
1,0,1,2,8.200000000000001,11.365,51,7.0015,57
4,0,1,1,18.86,22.725,36,0,326
4,0,1,3,22.14,25.759999999999998,94,11.0014,97
1,0,0,3,8.200000000000001,9.85,80,12.998,95
2,0,1,1,28.7,31.819999999999997,37,0,227
1,0,1,2,16.400000000000002,20.455000000000002,71,7.0015,128
2,0,1,1,26.240000000000002,31.06,41,23.9994,274
3,0,1,2,35.26,39.395,44,16.997899999999998,331
1,0,1,1,14.76,16.665,53,16.997899999999998,107
4,0,1,2,28.7,32.574999999999996,54,16.997899999999998,380
1,0,1,3,17.22,21.21,0,15.001299999999999,34
4,0,1,1,28.7,32.574999999999996,48,0,424
3,0,1,1,31.98,35.605,52,16.997899999999998,204
3,0,1,2,31.98,35.605,52,16.997899999999998,245
3,0,0,1,29.52,34.089999999999996,66,7.0015,616
3,0,1,1,35.26,41.665,53,15.001299999999999,127
1,0,0,1,13.940000000000001,15.909999999999998,56.99999999999999,16.997899999999998,373
2,0,1,2,25.419999999999998,31.06,56.99999999999999,19.999499999999998,218
4,0,1,2,18.04,21.97,57.99999999999999,7.0015,224
3,0,0,1,32.800000000000004,37.88,55.00000000000001,15.001299999999999,382
3,0,0,1,36.9,42.425000000000004,42,31.0009,526
